Rank,Release,Theaters,Total Gross,Release Date,Distributor
1,Avengers: Endgame,4662,858373000,4/26/2020,Disney
2,The Lion King,4802,543638043,7/19/2020,Disney
3,Toy Story 4,4575,434038008,6/21/2020,Disney
4,Frozen II,4440,477373578,11/22/2020,Disney
5,Captain Marvel,4310,426829839,3/8/2020,Disney
6,Star Wars: Episode IX - The Rise of Skywalker,4406,515202542,12/20/2020,Disney
7,Spider-Man: Far from Home,4634,390532085,7/2/2020,Sony Pictures Entertainment (SPE)
8,Aladdin,4476,355559216,5/24/2020,Disney
9,Joker,4374,335451311,10/4/2020,Warner Bros.
10,It Chapter Two,4570,211593228,9/6/2020,Warner Bros.
11,Jumanji: The Next Level,4227,316831246,12/13/2020,Sony Pictures Entertainment (SPE)
12,Us,3743,175084580,3/22/2020,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,4344,173956935,8/2/2020,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,3850,171015687,5/17/2020,Lionsgate
15,How to Train Your Dragon: The Hidden World,4286,160799505,2/22/2020,Universal Pictures
16,The Secret Life of Pets 2,4564,158874395,6/7/2020,Universal Pictures
17,Pokémon Detective Pikachu,4248,144105346,5/10/2020,Warner Bros.
18,Once Upon a Time... In Hollywood,3659,142502728,7/26/2020,Sony Pictures Entertainment (SPE)
19,Shazam!,4306,140371656,4/5/2020,Warner Bros.
20,Aquaman,4184,335061807,12/21/2020,Warner Bros.
21,Knives Out,3461,165363234,11/27/2020,Lionsgate
22,Dumbo,4259,114766307,3/29/2020,Disney
23,Maleficent: Mistress of Evil,3820,113929605,10/18/2020,Disney
24,Glass,3844,111048468,1/18/2020,Universal Pictures
25,Godzilla: King of the Monsters,4108,110500138,5/31/2020,Warner Bros.
26,The Upside,3568,108252517,1/11/2020,STX Entertainment
27,Ford v Ferrari,3746,117624357,11/15/2020,Twentieth Century Fox
28,The LEGO Movie 2: The Second Part,4303,105806508,2/8/2020,Warner Bros.
29,Hustlers,3525,104963598,9/13/2020,STX Entertainment
30,The Addams Family,4107,100044905,10/11/2020,United Artists Releasing
31,Downton Abbey,3548,96854135,9/20/2020,Focus Features
32,Rocketman,3610,96368160,5/31/2020,Paramount Pictures
33,Alita: Battle Angel,3802,85710210,2/14/2020,Twentieth Century Fox
34,Good Boys,3458,83140306,8/16/2020,Universal Pictures
35,Spider-Man: Into the Spider-Verse,3813,190241310,12/14/2020,Sony Pictures Entertainment (SPE)
36,Men in Black: International,4224,80001807,6/14/2020,Sony Pictures Entertainment (SPE)
37,Annabelle Comes Home,3613,74152591,6/26/2020,Warner Bros.
38,Yesterday,2755,73286650,6/28/2020,Universal Pictures
39,Tyler Perry's a Madea Family Funeral,2442,73257045,3/1/2020,Lionsgate
40,Zombieland: Double Tap,3468,73123082,10/18/2020,Sony Pictures Entertainment (SPE)
41,Angel Has Fallen,3336,69030436,8/23/2020,Lionsgate
